effect,obs,comp,fe,idx
0.4623375,200,1,product_code,P309
0.4373375,200,1,product_code,P31
0.6673375,200,1,product_code,P310
0.4523375,200,1,product_code,P311
0.4973375,200,1,product_code,P312
0.5323375,200,1,product_code,P313
0.5323375,200,1,product_code,P314
0.5023375,200,1,product_code,P315
0.4773375,200,1,product_code,P316
0.4623375,200,1,product_code,P317
0.4923375,200,1,product_code,P318
0.5173375,200,1,product_code,P319
0.4323375,200,1,product_code,P32
0.4923375,200,1,product_code,P320
0.4723375,200,1,product_code,P321
0.4623375,200,1,product_code,P322
0.4773375,200,1,product_code,P323
0.4773375,200,1,product_code,P324
0.4973375,200,1,product_code,P325
0.5273375,200,1,product_code,P326
0.5073375,200,1,product_code,P327
0.5023375,200,1,product_code,P328
0.4623375,200,1,product_code,P329
0.4373375,200,1,product_code,P33
0.4673375,200,1,product_code,P330
0.5223375,200,1,product_code,P331
0.4673375,200,1,product_code,P332
0.4923375,200,1,product_code,P333
0.4623375,200,1,product_code,P334
0.4923375,200,1,product_code,P335
0.4673375,200,1,product_code,P336
0.4823375,200,1,product_code,P337
0.4923375,200,1,product_code,P338
0.4823375,200,1,product_code,P339
0.4373375,200,1,product_code,P34
0.4923375,200,1,product_code,P340
0.4923375,200,1,product_code,P341
0.4923375,200,1,product_code,P342
0.5773375,200,1,product_code,P343
0.5373375,200,1,product_code,P344
0.7073375,200,1,product_code,P345
0.6123375,200,1,product_code,P346
0.6573375,200,1,product_code,P347
0.6623375,200,1,product_code,P348
0.6273375,200,1,product_code,P349
0.4423375,200,1,product_code,P35
0.7923375,200,1,product_code,P350
0.6723375,200,1,product_code,P351
0.6923375,200,1,product_code,P352
0.6273375,200,1,product_code,P353
0.8873375,200,1,product_code,P354
0.7023375,200,1,product_code,P355
0.6173375,200,1,product_code,P356
0.6073375,200,1,product_code,P357
0.6073375,200,1,product_code,P358
0.6973375,200,1,product_code,P359
0.4323375,200,1,product_code,P36
0.8273375,200,1,product_code,P360
0.7773375,200,1,product_code,P361
0.8673375,200,1,product_code,P362
0.6423375,200,1,product_code,P363
0.6873375,200,1,product_code,P364
0.8173375,200,1,product_code,P365
0.8223375,200,1,product_code,P366
0.6123375,200,1,product_code,P367
0.6373375,200,1,product_code,P368
0.6573375,200,1,product_code,P369
0.4373375,200,1,product_code,P37
0.6873375,200,1,product_code,P370
0.7223375,200,1,product_code,P371
0.6073375,200,1,product_code,P372
0.6123375,200,1,product_code,P373
0.6073375,200,1,product_code,P374
0.6873375,200,1,product_code,P375
0.6573375,200,1,product_code,P376
0.7173375,200,1,product_code,P377
0.8323375,200,1,product_code,P378
0.8673375,200,1,product_code,P379
0.4373375,200,1,product_code,P38
0.6073375,200,1,product_code,P380
0.6223375,200,1,product_code,P381
0.6273375,200,1,product_code,P382
0.7923375,200,1,product_code,P383
0.6973375,200,1,product_code,P384
0.7573375,200,1,product_code,P385
0.6973375,200,1,product_code,P386
0.6473375,200,1,product_code,P387
0.6123375,200,1,product_code,P388
0.6373375,200,1,product_code,P389
0.4323375,200,1,product_code,P39
0.6473375,200,1,product_code,P390
0.7373375,200,1,product_code,P391
0.7523375,200,1,product_code,P392
0.7773375,200,1,product_code,P393
0.8123375,200,1,product_code,P394
0.7073375,200,1,product_code,P395
0.6273375,200,1,product_code,P396
0.8973375,200,1,product_code,P397
0.5873375,200,1,product_code,P398
0.6273375,200,1,product_code,P399
0.4323375,200,1,product_code,P4
0.4323375,200,1,product_code,P40
0.6423375,200,1,product_code,P400
0.4323375,200,1,product_code,P401
0.4323375,200,1,product_code,P402
0.4373375,200,1,product_code,P403
0.4323375,200,1,product_code,P404
0.4323375,200,1,product_code,P405
0.4323375,200,1,product_code,P406
0.4673375,200,1,product_code,P407
0.4323375,200,1,product_code,P408
0.4323375,200,1,product_code,P409
0.4323375,200,1,product_code,P41
0.4423375,200,1,product_code,P410
0.4823375,200,1,product_code,P411
0.4423375,200,1,product_code,P412
0.4323375,200,1,product_code,P413
0.4423375,200,1,product_code,P414
0.4373375,200,1,product_code,P415
0.4573375,200,1,product_code,P416
0.4373375,200,1,product_code,P417
0.4323375,200,1,product_code,P418
0.4423375,200,1,product_code,P419
0.4573375,200,1,product_code,P42
0.4373375,200,1,product_code,P420
0.4573375,200,1,product_code,P421
0.4323375,200,1,product_code,P422
0.4623375,200,1,product_code,P423
0.4473375,200,1,product_code,P424
0.4523375,200,1,product_code,P425
0.4323375,200,1,product_code,P426
0.4473375,200,1,product_code,P427
0.4373375,200,1,product_code,P428
0.4373375,200,1,product_code,P429
0.4323375,200,1,product_code,P43
0.4373375,200,1,product_code,P430
0.4373375,200,1,product_code,P431
0.4673375,200,1,product_code,P432
0.5023375,200,1,product_code,P433
0.4573375,200,1,product_code,P434
0.5073375,200,1,product_code,P435
0.4423375,200,1,product_code,P436
0.4323375,200,1,product_code,P437
0.5173375,200,1,product_code,P438
0.4323375,200,1,product_code,P439
0.4573375,200,1,product_code,P44
0.4323375,200,1,product_code,P440
0.4623375,200,1,product_code,P441
0.4473375,200,1,product_code,P442
0.4723375,200,1,product_code,P443
0.4323375,200,1,product_code,P444
0.4423375,200,1,product_code,P445
0.4473375,200,1,product_code,P446
0.4373375,200,1,product_code,P447
0.4373375,200,1,product_code,P448
0.4473375,200,1,product_code,P449
0.4373375,200,1,product_code,P45
0.4523375,200,1,product_code,P450
0.5023375,200,1,product_code,P451
0.4373375,200,1,product_code,P452
0.4523375,200,1,product_code,P453
0.4523375,200,1,product_code,P454
0.4773375,200,1,product_code,P455
0.4823375,200,1,product_code,P456
0.4623375,200,1,product_code,P457
0.4323375,200,1,product_code,P458
0.4523375,200,1,product_code,P459
0.4323375,200,1,product_code,P46
0.4423375,200,1,product_code,P460
0.4323375,200,1,product_code,P461
0.4323375,200,1,product_code,P462
0.4673375,200,1,product_code,P463
0.4623375,200,1,product_code,P464
0.4623375,200,1,product_code,P465
0.4423375,200,1,product_code,P466
0.4473375,200,1,product_code,P467
0.4673375,200,1,product_code,P468
0.4523375,200,1,product_code,P469
0.4523375,200,1,product_code,P47
0.5173375,200,1,product_code,P470
0.4773375,200,1,product_code,P471
0.4573375,200,1,product_code,P472
0.4373375,200,1,product_code,P473
0.4773375,200,1,product_code,P474
0.4323375,200,1,product_code,P475
0.4423375,200,1,product_code,P476
0.4373375,200,1,product_code,P477
0.4423375,200,1,product_code,P478
0.5023375,200,1,product_code,P479
0.4373375,200,1,product_code,P48
0.4623375,200,1,product_code,P480
0.5623375,200,1,product_code,P481
0.5523375,200,1,product_code,P482
0.4473375,200,1,product_code,P483
0.4573375,200,1,product_code,P484
0.4473375,200,1,product_code,P485
0.4873375,200,1,product_code,P486
0.4523375,200,1,product_code,P487
0.4623375,200,1,product_code,P488
0.4523375,200,1,product_code,P489
0.4373375,200,1,product_code,P49
0.5023375,200,1,product_code,P490
0.4623375,200,1,product_code,P491
0.4423375,200,1,product_code,P492
0.5273375,200,1,product_code,P493
0.4373375,200,1,product_code,P494
0.4673375,200,1,product_code,P495
0.4423375,200,1,product_code,P496
0.4423375,200,1,product_code,P497
0.4323375,200,1,product_code,P498
0.4323375,200,1,product_code,P499
0.4323375,200,1,product_code,P5
0.4323375,200,1,product_code,P50
0.4573375,200,1,product_code,P500
0.4323375,200,1,product_code,P501
0.4473375,200,1,product_code,P502
0.4523375,200,1,product_code,P503
0.4873375,200,1,product_code,P504
0.5073375,200,1,product_code,P505
0.4373375,200,1,product_code,P506
0.4673375,200,1,product_code,P507
0.4573375,200,1,product_code,P508
0.4673375,200,1,product_code,P509
0.4323375,200,1,product_code,P51
0.4323375,200,1,product_code,P510
0.4673375,200,1,product_code,P511
0.4373375,200,1,product_code,P512
0.4473375,200,1,product_code,P513
0.4923375,200,1,product_code,P514
0.4923375,200,1,product_code,P515
0.4373375,200,1,product_code,P516
0.4523375,200,1,product_code,P517
0.4573375,200,1,product_code,P518
0.4823375,200,1,product_code,P519
0.4423375,200,1,product_code,P52
0.4373375,200,1,product_code,P520
0.5623375,200,1,product_code,P521
0.4523375,200,1,product_code,P522
0.4823375,200,1,product_code,P523
0.4673375,200,1,product_code,P524
0.4573375,200,1,product_code,P525
0.4323375,200,1,product_code,P526
0.4473375,200,1,product_code,P527
0.4873375,200,1,product_code,P528
0.4573375,200,1,product_code,P529
0.4323375,200,1,product_code,P53
0.4473375,200,1,product_code,P530
0.5123375,200,1,product_code,P531
0.4423375,200,1,product_code,P532
0.4623375,200,1,product_code,P533
0.6073375,200,1,product_code,P534
0.5923375,200,1,product_code,P535
0.4473375,200,1,product_code,P536
0.4823375,200,1,product_code,P537
0.5073375,200,1,product_code,P538
0.4573375,200,1,product_code,P539
